1	12s
2	8s
3	8s
4	8s
5	8s
6	8s
7	8s
8	8s
9	8s
10	8s
11	8s
12	8s
13	8s
14	8s
15	8s
16	8s
17	8s
18	8s
19	8s
20	8s
21	8s
22	8s
23	8s
24	8s
25	8s
26	8s
27	8s
28	8s
29	8s
30	8s
31	8s
32	8s
33	8s
34	8s
35	8s
36	8s
37	8s
38	8s
39	8s
40	8s
41	8s
42	8s
43	8s
44	8s
45	8s
46	8s
47	8s
48	8s
49	8s
50	8s
51	8s
52	8s
53	8s
54	8s
55	8s
56	8s
57	8s
58	8s
59	8s
60	8s
61	8s
62	8s
63	8s
64	8s
65	8s
66	8s
67	8s
68	8s
69	8s
70	8s
71	8s
72	8s
73	8s
74	8s
75	8s
76	8s
77	8s
78	8s
79	8s
80	8s
81	8s
82	8s
83	8s
84	8s
85	8s
86	8s
87	8s
88	8s
89	8s
90	8s
91	8s
92	8s
93	8s
94	8s
95	8s
96	8s
97	8s
98	8s
99	8s
100	8s
101	8s
102	8s
103	8s
104	8s
105	8s
106	8s
107	8s
108	8s
109	8s
110	8s
111	8s
112	8s
113	8s
114	8s
115	8s
116	8s
117	8s
118	8s
119	8s
120	8s
121	8s
122	8s
123	8s
124	8s
125	8s
126	8s
127	8s
128	8s
129	8s
130	8s
131	8s
132	8s
133	8s
134	8s
135	8s
136	8s
137	8s
138	8s
139	8s
140	8s
141	8s
142	8s
143	8s
144	8s
145	8s
146	8s
147	8s
148	8s
149	8s
150	8s
151	8s
152	8s
153	8s
154	8s
155	8s
156	8s
157	8s
158	8s
159	8s
160	8s
161	8s
162	8s
163	8s
164	8s
165	8s
166	8s
167	8s
168	8s
169	8s
170	8s
171	8s
172	8s
173	8s
174	8s
175	8s
176	8s
177	8s
178	8s
179	8s
180	8s
181	8s
182	8s
183	8s
184	8s
185	8s
186	8s
187	8s
188	8s
189	8s
190	8s
191	8s
192	8s
193	8s
194	8s
195	8s
196	8s
197	8s
198	8s
199	8s
200	8s
201	8s
202	8s
203	8s
204	8s
205	8s
206	8s
207	8s
208	8s
209	8s
210	8s
211	8s
212	8s
213	8s
214	8s
215	8s
216	8s
217	8s
218	8s
219	8s
220	8s
221	8s
222	8s
223	8s
224	8s
225	8s
226	8s
227	8s
228	8s
229	8s
230	8s
231	8s
232	8s
233	8s
234	8s
235	8s
236	8s
237	8s
238	8s
239	8s
240	8s
241	8s
242	8s
243	8s
244	8s
245	8s
246	8s
247	8s
248	8s
249	8s
250	8s
251	8s
252	8s
253	8s
254	8s
255	8s
256	8s
257	8s
258	8s
259	8s
260	8s
261	8s
262	8s
263	8s
264	8s
265	8s
266	8s
267	8s
268	8s
269	8s
270	8s
271	8s
272	8s
273	8s
274	8s
275	8s
276	8s
277	8s
278	8s
279	8s
280	8s
281	8s
282	8s
283	8s
284	8s
285	8s
286	8s
287	8s
288	8s
289	8s
290	8s
291	8s
292	8s
293	8s
294	8s
295	8s
296	8s
297	8s
298	8s
299	8s
300	8s
301	8s
302	8s
303	8s
304	8s
305	8s
306	8s
307	8s
308	8s
309	8s
310	8s
311	8s
312	8s
313	8s
314	8s
315	8s
316	8s
317	8s
318	8s
319	8s
320	8s
321	8s
322	8s
323	8s
324	8s
325	8s
326	8s
327	8s
328	8s
329	8s
330	8s
331	8s
332	8s
333	8s
334	8s
335	8s
336	8s
337	8s
338	8s
339	8s
340	8s
341	8s
342	8s
343	8s
344	8s
345	8s
346	8s
347	8s
348	8s
349	8s
350	8s
351	8s
352	8s
353	8s
354	8s
355	8s
356	8s
357	8s
358	8s
359	8s
360	8s
361	8s
362	8s
363	8s
364	8s
365	8s
366	8s
367	8s
368	8s
369	8s
370	8s
371	8s
372	8s
373	8s
374	8s
375	8s
376	8s
377	8s
378	8s
379	8s
380	8s
381	8s
382	8s
383	8s
384	8s
385	8s
386	8s
387	8s
388	8s
389	8s
390	8s
391	8s
392	8s
393	8s
394	8s
395	8s
396	8s
397	8s
398	8s
399	8s
400	8s

